count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
1439,34769,34777,6,104,936,-63,83,24,0,20491,17163,26175,"(11977, -203)"
1440,34794,34803,8,111,935,0,85,25,-2,20456,17115,26343,"(11998, -203)"
1441,34816,34825,8,108,935,63,83,28,1,20683,16918,25953,"(12037, -203)"
1442,34838,34846,6,113,945,0,85,27,5,20515,17037,26175,"(12038, -203)"
1443,34860,34868,5,107,937,111,86,28,1,20462,17025,26163,"(12038, -203)"
1444,34882,34890,4,109,937,-111,80,22,2,20509,17097,26480,"(12028, -203)"
1445,34908,34916,6,106,930,79,83,27,-3,20713,17049,25888,"(12004, -203)"
1446,34930,34939,4,114,939,15,86,27,-2,20713,17043,25947,"(11966, -203)"
1447,34973,34982,10,111,942,-159,84,28,2,20827,16983,26037,"(11984, -203)"
1448,34995,35004,6,100,934,0,84,27,-3,20779,17133,26007,"(12003, -203)"
1449,35017,35026,4,104,939,-79,85,29,0,20539,17061,26247,"(12047, -203)"
1450,35042,35051,9,100,931,-79,81,25,6,20719,16977,26163,"(12023, -203)"
1451,35064,35073,0,110,933,-175,85,27,-3,20827,17121,26031,"(12005, -203)"
1452,35086,35095,8,102,931,63,80,29,5,20857,17085,26283,"(12053, -203)"
1453,35108,35116,8,106,933,-15,84,29,2,20665,16941,26109,"(11993, -203)"
1454,35130,35138,11,108,930,127,84,28,0,20689,17019,26295,"(11988, -203)"
1455,35152,35160,8,106,922,-207,82,26,1,20563,17181,26133,"(12004, -203)"
1456,35174,35182,6,106,929,111,83,28,-2,20605,16953,26366,"(12014, -203)"
1457,35195,35204,4,104,931,95,80,27,1,20551,17061,26390,"(12037, -203)"
1458,35221,35229,4,114,940,127,91,32,-2,20503,17013,26211,"(11995, -203)"
1459,35243,35251,4,106,936,-111,84,28,-2,20671,17049,26378,"(12046, -203)"
1460,35268,35277,5,100,938,79,89,30,-2,20731,17139,26343,"(12047, -203)"
1461,35290,35299,0,110,943,15,82,24,2,20695,17175,26103,"(11998, -203)"
1462,35312,35320,0,103,930,-47,82,28,5,20749,17217,26163,"(11992, -203)"
1463,35334,35342,5,112,935,-79,89,29,-1,20743,17187,26205,"(12005, -203)"
1464,35356,35364,14,106,921,0,84,27,0,20557,16876,26193,"(12047, -203)"
1465,35377,35386,7,104,941,-143,85,29,-2,20468,17109,26372,"(12024, -203)"
1466,35399,35408,7,111,938,191,82,26,4,20665,17157,26295,"(12022, -203)"
1467,35421,35430,8,106,934,383,70,27,1,20563,17139,26420,"(12022, -203)"
1468,35443,35451,2,106,937,-303,88,28,3,20593,17037,26157,"(12012, -203)"
1469,35465,35473,9,107,946,143,82,28,2,20474,17115,25941,"(11986, -203)"
1470,35490,35499,6,98,937,-143,82,27,1,20318,17019,26073,"(11944, -203)"
1471,35515,35524,4,107,925,95,83,24,0,20611,17037,26031,"(11981, -203)"
1472,35537,35545,5,111,931,79,80,28,1,20515,17067,25953,"(12032, -203)"
1473,35559,35567,8,106,946,-111,82,30,2,20515,16906,26085,"(12024, -203)"
1474,35581,35589,10,107,933,-143,83,29,-2,20683,17001,26229,"(12029, -203)"
1475,35643,35651,10,112,937,-127,89,29,3,20557,17229,26169,"(11311, -203)"
1476,35664,35673,9,102,939,0,80,30,2,20827,17085,26181,"(12051, -203)"
1477,35686,35695,4,102,941,-63,78,29,2,20527,17085,26307,"(11992, -203)"
1478,35708,35717,6,114,935,-63,82,28,1,20474,17229,26061,"(11994, -203)"
1479,35730,35739,6,110,935,143,84,27,0,20695,17133,26486,"(11967, -203)"
1480,35755,35764,3,103,930,319,81,33,-4,20629,16959,26139,"(12029, -203)"
1481,35783,35791,6,104,929,-111,83,29,-1,20462,17049,26205,"(12027, -203)"
1482,35805,35813,2,104,930,143,78,28,1,20605,17055,25941,"(12040, -203)"
1483,35827,35835,0,102,941,0,83,32,1,20635,16977,25870,"(12024, -203)"
1484,35853,35861,4,110,932,127,80,25,3,20629,17043,25774,"(12035, -203)"
1485,35875,35884,2,108,939,63,81,28,0,20665,16977,25840,"(11961, -203)"
1486,35897,35906,2,112,931,111,84,28,3,20575,17121,25690,"(11998, -203)"
1487,35919,35927,14,108,938,15,89,28,-2,20527,17139,26127,"(11957, -203)"
1488,35941,35949,6,104,935,31,75,29,5,20839,17061,25900,"(11990, -203)"
1489,35963,35971,6,104,929,-223,85,30,2,20773,17253,25935,"(12004, -203)"
1490,35988,35997,8,106,928,79,88,22,2,20480,17163,25971,"(12038, -203)"
1491,36010,36019,-2,110,933,143,83,32,-1,20839,16995,25989,"(11995, -203)"
1492,36032,36041,2,104,933,-95,77,26,-1,20785,17193,25385,"(12039, -203)"
1493,36054,36062,9,109,933,15,82,22,3,20605,17007,25678,"(11295, -203)"
1494,36076,36084,11,113,930,-111,82,27,2,20779,17271,25678,"(11982, -203)"
1495,36098,36106,0,112,932,-239,76,27,0,20755,17462,25762,"(11965, -203)"
1496,36120,36128,3,111,941,79,85,28,-3,20426,17085,25852,"(12002, -203)"
1497,36146,36155,10,108,935,-31,82,30,0,20503,17043,26019,"(12031, -203)"
1498,36168,36177,5,108,930,255,80,26,4,20797,16959,25995,"(12013, -203)"
1499,36190,36199,7,101,939,-79,82,27,4,20743,16840,25894,"(12015, -203)"
1500,36216,36224,7,104,936,-175,81,27,2,20420,16965,25876,"(12039, -203)"
1501,36237,36246,12,115,936,191,85,29,-5,20635,17091,26103,"(11982, -203)"
1502,36259,36268,6,109,922,-15,78,28,2,20468,17097,26079,"(11987, -203)"
1503,36281,36290,12,106,937,31,91,27,1,20683,16995,25588,"(11965, -203)"
1504,36303,36312,5,107,936,0,76,28,0,20569,17259,26199,"(12029, -203)"
1505,36325,36334,4,100,934,447,85,27,4,20635,16840,25959,"(12028, -203)"
1506,36347,36356,14,98,932,-127,81,30,1,20563,17175,26235,"(12000, -203)"
1507,36369,36378,1,115,930,95,85,29,2,20671,17151,26115,"(12017, -203)"
1508,36391,36399,13,106,935,79,83,32,3,20557,17265,26378,"(11984, -203)"
1509,36413,36421,6,101,929,-191,83,26,4,20653,17025,26139,"(11984, -203)"
1510,36442,36451,5,106,924,63,83,32,1,20539,16935,26019,"(11970, -203)"
1511,36465,36473,5,110,928,-31,83,30,1,20491,17265,26277,"(11994, -203)"
1512,36487,36495,8,101,924,63,82,30,-3,20569,16995,26007,"(12021, -203)"
1513,36509,36517,14,103,938,191,81,25,-1,20563,16947,25917,"(12016, -203)"
1514,36530,36539,4,109,933,111,81,33,2,20545,17103,25912,"(12004, -203)"
1515,36552,36561,7,110,935,-63,88,26,-2,20701,17127,26079,"(12014, -203)"
1516,36574,36583,5,108,931,303,82,25,2,20701,17025,26049,"(12048, -203)"
1517,36596,36605,5,110,934,-159,88,27,1,20725,16983,26139,"(11992, -203)"
1518,36618,36627,2,104,937,335,83,24,3,20545,16965,25846,"(11980, -203)"
1519,36640,36649,4,106,922,-383,82,26,4,20474,17043,25929,"(11983, -203)"
1520,36665,36674,3,113,944,-47,85,27,-2,20659,16989,26355,"(12031, -203)"
1521,36687,36696,7,95,928,63,83,28,2,20581,17001,26223,"(12034, -203)"
1522,36709,36718,8,105,936,-31,88,24,0,20695,17043,25953,"(12042, -203)"
1523,36742,36751,6,106,940,63,80,30,1,20749,17037,26043,"(12043, -203)"
1524,36765,36773,6,112,928,-143,83,24,3,20623,17067,26277,"(12043, -203)"
1525,36786,36795,2,105,941,-239,84,25,0,20749,17205,26013,"(11970, -203)"
1526,36808,36817,4,104,931,0,86,32,-1,20791,16744,25971,"(12000, -203)"
1527,36830,36839,0,99,930,0,82,29,3,20665,17145,26031,"(11986, -203)"
1528,36852,36861,5,104,930,-63,88,26,3,20683,16834,26061,"(12021, -203)"
1529,36874,36883,2,106,931,127,82,24,-290,20815,17079,26313,"(12004, -203)"
1530,36899,36908,4,110,945,15,77,26,4,20773,17103,26085,"(12023, -203)"
1531,36921,36930,9,117,939,-239,78,27,4,20809,16768,26043,"(12044, -203)"
1532,36943,36952,4,114,925,-319,83,22,0,20665,17127,26187,"(12048, -203)"
1533,37027,37035,6,107,932,111,86,28,5,20917,17187,26151,"(11983, -203)"
1534,37049,37057,4,108,925,191,82,28,6,20803,17091,25929,"(11937, -203)"
1535,37071,37079,13,108,938,-175,84,28,8,20797,17061,25852,"(11983, -203)"
1536,37093,37101,7,104,940,-255,84,29,5,20827,17307,26001,"(12043, -203)"
1537,37112,37121,6,107,947,303,89,26,2,20725,17037,25971,"(12039, -203)"
1538,37134,37143,6,100,936,79,81,26,-3,20497,17007,26331,"(12003, -203)"
1539,37156,37165,6,107,935,271,85,30,1,20629,16786,26223,"(12049, -203)"
1540,37181,37190,6,102,930,-255,82,30,-1,20575,16900,26384,"(12038, -203)"
1541,37203,37212,6,104,942,0,93,29,4,20887,17139,26169,"(11985, -203)"
1542,37225,37234,4,101,935,15,88,32,8,20659,17043,26229,"(11981, -203)"
1543,37247,37256,9,107,939,0,89,29,1,20474,17037,26229,"(11968, -203)"
1544,37269,37278,6,106,933,-207,88,30,4,20737,17001,26061,"(12029, -203)"
1545,37291,37300,4,106,926,47,83,29,5,20653,16965,26247,"(12040, -203)"
1546,37313,37321,3,109,930,-207,84,32,6,20713,17127,26133,"(12037, -203)"
1547,37335,37343,5,102,941,-111,82,33,1,20767,16995,26199,"(12033, -203)"
1548,37357,37365,4,108,935,0,86,26,2,20581,17265,26283,"(12003, -203)"
1549,37379,37387,4,101,935,-15,82,28,5,20599,16959,26396,"(11983, -203)"
1550,37408,37417,5,108,935,127,85,24,-9,20743,17187,26666,"(11983, -203)"
1551,37431,37439,5,104,930,-143,84,27,2,20839,17181,26283,"(12005, -203)"
1552,37452,37461,4,107,934,-79,90,27,-5,20863,16792,26337,"(12001, -203)"
1553,37474,37483,5,102,926,-31,84,28,-1,20749,16983,26163,"(12015, -203)"
1554,37496,37505,2,108,935,31,89,28,-3,20821,17121,26408,"(12018, -203)"
1555,37518,37527,4,108,937,-175,84,32,2,20839,16947,26349,"(12029, -203)"
1556,37540,37549,2,109,933,15,82,29,1,20773,17007,26289,"(12024, -203)"
1557,37562,37570,5,110,930,-367,84,27,3,20617,16941,25995,"(12006, -203)"
1558,37584,37592,8,106,932,-127,89,26,-3,20563,16762,26253,"(12003, -203)"
1559,37606,37614,9,106,936,-159,80,26,-1,20845,16864,26444,"(11965, -203)"
1560,37631,37639,1,111,943,-191,90,28,1,20785,17115,26121,"(12047, -203)"
1561,37653,37661,2,109,934,47,75,29,0,20653,17055,26384,"(12015, -203)"
1562,37675,37683,3,100,935,79,83,28,1,20450,17037,26223,"(12032, -203)"
1563,37701,37709,5,111,929,127,84,32,3,20527,17115,26265,"(12018, -203)"
1564,37723,37732,1,106,942,-127,78,25,2,20390,16852,26390,"(12006, -203)"
1565,37745,37754,5,102,928,511,83,27,-2,20659,17151,26606,"(11994, -203)"
1566,37767,37776,7,105,948,0,86,25,2,20629,17181,26283,"(11976, -203)"
1567,37789,37797,8,101,935,63,83,24,3,20563,17241,26444,"(12003, -203)"
1568,37811,37819,6,116,937,-15,84,27,3,20581,16935,26414,"(12031, -203)"
1569,37833,37841,14,110,934,31,90,27,5,20527,17265,26522,"(12011, -203)"
1570,37858,37866,3,106,926,-15,77,25,-1,20647,16906,26289,"(12025, -203)"
1571,37880,37888,7,119,933,159,81,27,-4,20665,17073,26450,"(12044, -203)"
1572,37902,37910,4,102,933,191,83,27,1,20683,17013,26426,"(12009, -203)"
1573,37924,37932,6,107,934,159,84,28,0,20683,17115,26325,"(11961, -203)"
1574,37946,37954,17,107,934,-303,83,28,1,20611,17301,26259,"(12010, -203)"
1575,37967,37976,5,105,939,0,80,32,3,20749,17289,26223,"(11976, -203)"
1576,37994,38002,10,106,939,15,84,30,-1,20827,17295,26211,"(12041, -203)"
1577,38016,38024,4,108,933,95,81,27,2,20659,17121,26414,"(12006, -203)"
1578,38038,38046,6,108,933,-127,85,29,-5,20827,17217,26319,"(12013, -203)"
1579,38060,38068,10,106,933,79,83,28,2,20581,17361,26169,"(12009, -203)"
1580,38085,38093,11,102,934,143,88,28,2,20761,17187,26031,"(12041, -203)"
1581,38107,38115,4,102,933,-239,83,21,5,20743,16971,26396,"(11977, -203)"
1582,38129,38137,4,106,928,-303,83,30,1,20779,17474,26007,"(11964, -203)"
1583,38151,38159,5,101,934,0,83,26,-1,20611,17043,26103,"(11994, -203)"
1584,38173,38181,4,114,937,31,84,25,0,20563,16792,26456,"(12013, -203)"
1585,38194,38203,6,108,942,63,85,25,1,20378,16882,26235,"(12008, -203)"
1586,38216,38225,8,109,931,207,82,28,0,20593,16912,26325,"(12011, -203)"
1587,38238,38247,3,109,930,207,80,29,3,20815,16923,26091,"(12038, -203)"
1588,38260,38269,7,119,939,255,84,27,0,20581,17097,25906,"(12003, -203)"
1589,38286,38295,8,107,930,-111,80,26,-2,20641,16947,26163,"(11971, -203)"
1590,38312,38320,4,102,939,-111,82,27,2,20683,16840,26307,"(11971, -203)"
1591,38334,38342,10,104,939,-255,84,28,2,20707,16906,26181,"(12007, -203)"
1592,38396,38404,8,113,935,-31,81,27,-3,20599,16834,26235,"(12041, -203)"
1593,38418,38426,5,108,935,463,84,28,1,20521,17067,26325,"(12003, -203)"
1594,38440,38448,3,106,943,127,77,29,3,20701,16912,26283,"(12003, -203)"
1595,38467,38476,3,104,933,15,90,27,2,20731,17193,26097,"(12025, -203)"
1596,38489,38498,6,109,935,-31,81,28,4,20593,16864,26510,"(12044, -203)"
1597,38511,38520,2,102,935,-175,84,32,3,20683,16870,26235,"(11986, -203)"
1598,38533,38542,8,108,939,-223,81,25,4,20695,16876,26205,"(11969, -203)"
1599,38555,38563,1,107,946,-255,89,29,6,20599,17013,26325,"(11975, -203)"
1600,38580,38589,4,113,938,15,84,28,-1,20695,17133,26301,"(12027, -203)"
1601,38602,38611,6,104,931,15,84,25,-2,20653,16894,26121,"(12013, -203)"
1602,38628,38637,3,110,936,-207,83,24,2,20641,16744,26163,"(12062, -203)"
1603,38651,38659,7,105,941,-15,78,25,3,20581,16912,26193,"(12018, -203)"
1604,38672,38681,2,108,931,-111,80,32,0,20563,16738,26115,"(12006, -203)"
1605,38694,38703,6,109,934,335,80,24,2,20725,16768,25995,"(11987, -203)"
1606,38716,38725,8,106,953,-79,82,28,0,20485,16822,26211,"(11960, -203)"
1607,38738,38747,7,113,935,-207,82,28,1,20677,16840,26139,"(11998, -203)"
1608,38760,38769,4,106,939,-111,85,29,0,20719,16780,26121,"(12012, -203)"
1609,38782,38790,2,111,934,-159,82,28,2,20533,16822,26259,"(12053, -203)"
1610,38807,38816,2,102,932,143,86,26,-2,20779,16864,26157,"(12020, -203)"
1611,38829,38837,10,107,932,-63,78,27,8,20701,16702,26061,"(12013, -203)"
1612,38851,38859,6,102,938,-47,86,30,2,20390,16750,26259,"(12034, -203)"
1613,38873,38881,8,108,941,-79,81,28,4,20581,16816,26259,"(11965, -203)"
1614,38895,38903,6,106,926,-191,85,27,-2,20641,16822,26223,"(11963, -203)"
1615,38921,38929,8,107,939,-143,84,28,-3,20809,17055,26271,"(12001, -203)"
1616,38943,38952,2,108,934,-15,86,25,5,20917,17115,26133,"(12045, -203)"
1617,38965,38973,10,100,931,-127,74,28,-2,20815,16983,26283,"(12017, -203)"
1618,38987,38995,5,108,928,239,86,22,6,20515,17103,26175,"(12039, -203)"
1619,39030,39039,3,114,941,255,86,27,5,20791,17121,26426,"(12044, -203)"
1620,39055,39064,11,109,933,-79,78,22,-2,20761,16947,26420,"(12019, -203)"
1621,39077,39086,13,110,925,15,88,27,2,20611,16941,26199,"(11992, -203)"
1622,39099,39108,6,108,937,-191,83,28,6,20719,16971,26091,"(11988, -203)"
1623,39121,39129,6,106,935,15,78,29,-2,20689,17007,25995,"(11969, -203)"
1624,39143,39151,9,106,937,431,86,27,1,20737,16900,26438,"(12047, -203)"
1625,39165,39173,7,108,942,383,83,27,0,20917,17121,26193,"(12022, -203)"
1626,39186,39195,8,104,934,15,80,29,0,20755,17067,26103,"(12002, -203)"
1627,39208,39217,8,99,945,-111,80,27,-1,20797,17007,26355,"(11997, -203)"
1628,39234,39243,6,104,926,-143,81,28,4,20857,17013,26337,"(12016, -203)"
1629,39257,39265,9,104,943,223,84,27,-1,20611,16870,26235,"(12019, -203)"
1630,39282,39290,8,110,936,15,80,27,-3,20653,16522,26295,"(11997, -203)"
1631,39304,39312,5,108,929,223,81,26,-3,20623,17013,26223,"(11960, -203)"
1632,39333,39341,8,108,931,-63,82,30,0,20569,17019,26277,"(12031, -203)"
1633,39355,39363,4,104,946,79,88,29,1,20539,16959,26570,"(12004, -203)"
1634,39376,39385,4,116,942,-79,85,27,0,20533,17061,26456,"(12032, -203)"
1635,39398,39407,8,107,939,-191,82,24,-3,20725,17127,26486,"(12021, -203)"
1636,39420,39429,3,97,941,-159,80,26,1,20569,17049,26756,"(11988, -203)"
1637,39442,39451,5,108,927,-31,84,29,1,20533,16941,26438,"(11953, -203)"
1638,39464,39472,1,102,937,15,83,25,6,20635,16959,26540,"(11980, -203)"
1639,39486,39494,9,107,934,-127,88,27,1,20521,17019,26552,"(11981, -203)"
1640,39511,39520,10,108,938,-287,77,29,4,20533,16965,26384,"(12037, -203)"
1641,39533,39541,10,106,937,95,89,28,0,20623,16959,26426,"(12053, -203)"
1642,39559,39568,1,104,933,15,88,25,-1,20653,16995,26067,"(12032, -203)"
1643,39581,39590,2,110,927,-63,81,32,0,20575,16894,26845,"(12027, -203)"
1644,39603,39612,2,104,941,79,82,29,-1,20575,16882,26402,"(12046, -203)"
1645,39625,39634,6,112,934,15,88,28,1,20593,16935,26360,"(11991, -203)"
1646,39647,39656,1,102,944,31,84,29,0,20761,16900,26420,"(12017, -203)"
1647,39669,39677,7,110,926,47,83,27,2,20659,16864,26570,"(11975, -203)"
1648,39691,39699,3,116,946,319,83,27,2,20701,16983,26642,"(12039, -203)"
1649,39713,39721,4,110,937,351,86,27,3,20611,16804,26498,"(12034, -203)"
1650,39778,39786,3,113,935,255,88,29,1,20563,16900,26253,"(12027, -203)"
1651,39800,39808,4,108,935,-111,85,28,3,20689,17001,26271,"(12015, -203)"
1652,39822,39830,4,103,944,207,85,30,1,20521,16888,26360,"(12025, -203)"
1653,39844,39852,3,102,930,-239,84,24,2,20683,17091,26480,"(12009, -203)"
1654,39866,39874,3,105,940,207,83,26,-3,20497,17049,26480,"(12018, -203)"
1655,39892,39900,6,96,930,-175,83,25,2,20557,17085,26259,"(12013, -203)"
1656,39914,39923,8,112,938,-143,83,26,8,20761,17169,26157,"(12026, -203)"
1657,39936,39944,6,102,931,63,85,27,0,20791,17295,26259,"(12023, -203)"
1658,39958,39966,6,107,937,-63,84,33,6,20731,17037,26151,"(12019, -203)"
1659,39980,39988,8,105,920,-63,82,28,1,20761,17025,26438,"(12015, -203)"
1660,40005,40013,14,106,946,255,84,29,-291,20557,17085,26157,"(12031, -203)"
1661,40027,40035,2,107,923,-303,76,34,1,20623,16852,26229,"(11976, -203)"
1662,40049,40057,7,110,930,-79,82,28,3,20617,17061,26013,"(11968, -203)"
1663,40070,40079,7,113,940,-159,89,24,2,20737,17271,25965,"(11975, -203)"
1664,40092,40101,8,108,941,63,85,30,1,20426,17313,26103,"(12036, -203)"
1665,40114,40123,2,111,945,207,84,30,2,20557,17097,26229,"(12016, -203)"
1666,40136,40144,10,110,935,0,80,29,1,20450,17091,26277,"(12019, -203)"
1667,40158,40166,6,110,936,-47,84,28,0,20497,17103,26408,"(12017, -203)"
1668,40183,40192,6,108,939,15,92,28,2,20384,16906,26313,"(12025, -203)"
1669,40205,40214,8,108,933,143,86,26,0,20480,16977,26295,"(11990, -203)"
1670,40231,40239,8,113,941,159,86,28,6,20677,16965,26085,"(11974, -203)"
1671,40252,40261,13,110,937,175,82,30,2,20456,16846,26414,"(11977, -203)"
1672,40274,40283,10,112,941,-159,78,26,0,20378,17007,26169,"(12034, -203)"
1673,40296,40305,7,106,937,-79,78,28,2,20539,17169,25810,"(12015, -203)"
1674,40318,40327,4,101,924,-175,83,28,5,20390,17145,26265,"(12041, -203)"
1675,40340,40348,8,102,920,79,78,28,3,20468,16959,26031,"(12051, -203)"
1676,40362,40370,1,103,930,303,85,27,3,20462,17157,26151,"(12038, -203)"
1677,40384,40392,2,113,939,-319,89,30,3,20468,17073,26067,"(12006, -203)"
1678,40405,40414,7,110,933,-15,82,28,2,20330,17007,26468,"(11997, -203)"
1679,40427,40436,10,103,937,-95,85,33,2,20623,16941,26408,"(11991, -203)"
1680,40453,40461,7,110,928,159,78,26,2,20515,17043,26109,"(12054, -203)"
1681,40488,40496,6,112,926,159,81,26,2,20246,16876,26750,"(12028, -203)"
1682,40509,40518,2,100,937,-63,88,27,-1,20713,16900,26480,"(12041, -203)"
1683,40531,40540,15,106,937,-143,83,29,3,20605,16953,26241,"(12016, -203)"
1684,40553,40562,4,106,929,127,86,28,3,20527,16792,26349,"(12035, -203)"
1685,40575,40583,5,103,939,-143,84,26,-2,20480,16816,26187,"(11996, -203)"
1686,40597,40605,6,105,939,-175,77,29,3,20677,16786,26295,"(11999, -203)"
1687,40619,40627,4,104,935,15,84,29,-1,20611,17049,26187,"(11970, -203)"
1688,40641,40649,12,102,933,-175,82,28,0,20665,16983,26349,"(12041, -203)"
1689,40662,40671,5,110,928,-111,82,32,3,20635,16900,26223,"(12027, -203)"
1690,40688,40696,8,98,946,-95,86,27,-1,20569,17043,26223,"(12021, -203)"
1691,40710,40718,4,106,933,-31,82,29,2,20725,17007,26067,"(12016, -203)"
1692,40731,40740,8,102,937,239,82,28,5,20653,17139,25941,"(12031, -203)"
1693,40753,40762,7,107,934,-207,84,27,1,20617,16965,26169,"(11996, -203)"
1694,40780,40788,7,107,939,15,82,28,1,20695,17067,26109,"(12008, -203)"
1695,40802,40810,10,110,941,-15,86,30,-2,20515,17175,26151,"(12007, -203)"
1696,40824,40832,9,99,939,15,82,26,5,20497,17193,26396,"(12020, -203)"
1697,40846,40854,5,105,935,143,85,24,-4,20653,17007,26241,"(12004, -203)"
1698,40868,40876,9,113,935,-111,78,27,-2,20623,17115,26043,"(12017, -203)"
1699,40890,40898,6,109,929,15,84,26,3,20491,17067,26277,"(12012, -203)"
1700,40915,40923,6,114,930,79,78,27,2,20438,17163,25786,"(12045, -203)"
1701,40937,40945,4,110,935,175,86,30,4,20743,17277,25744,"(11998, -203)"
1702,40959,40967,1,102,933,175,81,27,1,20581,17271,25780,"(12007, -203)"
1703,41002,41011,15,113,938,-47,82,27,6,20725,17091,26001,"(12016, -203)"
1704,41024,41033,7,108,935,191,82,29,1,20599,17103,26031,"(12002, -203)"
1705,41046,41054,3,100,932,63,83,26,0,20713,16852,25690,"(12021, -203)"
1706,41068,41076,6,110,943,143,81,27,1,20701,17121,25427,"(12009, -203)"
1707,41094,41103,12,103,933,-111,78,26,0,20719,17145,25834,"(12055, -203)"
1708,41169,41177,11,104,924,415,77,28,5,20527,17109,26151,"(12034, -203)"
1709,41239,41248,11,113,941,-207,83,27,-2,20462,17061,25935,"(11996, -203)"
1710,41281,41289,5,111,936,-255,81,25,1,20539,16977,25702,"(11977, -203)"
1711,41303,41311,10,104,934,31,85,26,1,20515,17037,26127,"(12002, -203)"
1712,41325,41333,7,105,933,303,84,29,4,20360,17145,25882,"(12038, -203)"
1713,41347,41355,10,107,935,0,88,32,-2,20509,17133,26097,"(11999, -203)"
1714,41369,41377,8,106,937,95,85,29,4,20599,17325,26205,"(11998, -203)"
1715,41390,41399,4,109,932,31,84,28,1,20665,17115,25720,"(12032, -203)"
1716,41412,41421,6,106,939,-159,84,27,0,20593,16989,26055,"(12033, -203)"
1717,41434,41443,8,105,939,-15,84,30,2,20491,17085,26103,"(11985, -203)"
1718,41456,41465,2,108,934,0,85,27,0,20444,16935,26301,"(11964, -203)"
1719,41478,41487,2,107,934,-111,88,27,-2,20414,17145,25935,"(11967, -203)"
1720,41508,41516,6,97,935,47,80,26,6,20503,17175,26133,"(12030, -203)"
1721,41530,41538,14,102,932,-255,88,29,-2,20551,17349,26025,"(12029, -203)"
1722,41552,41560,5,107,938,-47,78,26,-4,20480,17043,25995,"(12003, -203)"
1723,41574,41582,10,103,931,319,78,27,1,20485,17145,26037,"(12012, -203)"
1724,41596,41604,4,108,926,95,80,32,1,20521,17343,26049,"(12009, -203)"
1725,41618,41626,12,111,940,175,88,25,0,20575,17259,26085,"(11985, -203)"
1726,41639,41648,2,108,936,111,86,27,1,20521,17133,26001,"(11974, -203)"
1727,41661,41670,2,116,940,-47,84,29,5,20539,17265,25846,"(11965, -203)"
1728,41683,41692,6,109,946,-143,86,25,1,20551,17073,25977,"(12005, -203)"
1729,41705,41714,5,110,937,191,81,30,4,20432,17037,26349,"(12032, -203)"
1730,41730,41739,8,108,932,143,83,28,3,20581,16953,25774,"(12067, -203)"
1731,41752,41761,3,106,926,-31,80,25,9,20545,17103,26043,"(12027, -203)"
1732,41774,41783,11,108,934,111,83,27,-1,20468,17025,25906,"(12004, -203)"
1733,41800,41809,6,107,939,111,81,22,4,20599,17217,26121,"(11984, -203)"
1734,41823,41831,4,113,935,127,88,30,4,20342,16894,26067,"(11996, -203)"
1735,41845,41853,4,107,931,-255,75,26,-2,20450,17241,26163,"(11993, -203)"
1736,41867,41875,6,105,939,-143,83,30,0,20707,17115,25864,"(12023, -203)"
1737,41888,41897,8,104,933,-47,77,29,3,20563,17031,26031,"(11996, -203)"
1738,41910,41919,2,102,934,-31,80,25,2,20677,17289,26061,"(12046, -203)"
1739,41932,41941,4,102,935,63,83,30,2,20857,17289,25684,"(11998, -203)"
1740,41958,41966,6,107,943,0,77,27,-3,20773,17217,25756,"(12022, -203)"
1741,41986,41995,2,108,934,-15,88,30,-2,20803,17127,25965,"(11978, -203)"
1742,42008,42017,8,102,937,-31,83,27,-1,20707,17277,25906,"(11977, -203)"
1743,42030,42039,4,105,933,79,81,29,2,20647,17181,25672,"(12000, -203)"
1744,42052,42061,4,106,929,0,84,30,2,20545,17169,26103,"(12035, -203)"
1745,42074,42083,12,110,934,143,82,24,-2,20557,17091,25762,"(12037, -203)"
1746,42096,42105,6,104,932,223,85,26,2,20557,17151,26139,"(12010, -203)"
1747,42129,42138,8,108,930,-31,81,25,4,20617,16900,26073,"(12030, -203)"
1748,42152,42160,11,104,935,79,78,27,-2,20336,16852,26133,"(12047, -203)"
1749,42173,42182,0,105,930,-15,80,24,1,20527,16989,25780,"(11976, -203)"
1750,42199,42207,10,111,934,191,88,24,-1,20444,17163,25977,"(12005, -203)"
1751,42221,42229,4,108,930,367,83,27,-4,20444,17169,25666,"(11970, -203)"
1752,42243,42251,3,113,945,191,84,24,-2,20444,17085,25852,"(12035, -203)"
1753,42264,42273,6,95,939,-47,83,26,-2,20491,17001,25870,"(12038, -203)"
1754,42286,42295,3,111,937,-63,81,29,5,20569,16977,26019,"(12017, -203)"
1755,42308,42317,4,110,936,-175,82,27,5,20474,17013,25822,"(12009, -203)"
1756,42330,42339,2,109,928,47,83,27,1,20719,17217,26067,"(12021, -203)"
1757,42352,42361,15,107,939,-79,83,28,8,20438,17103,26175,"(12005, -203)"
1758,42374,42382,3,105,935,-31,84,29,0,20372,17049,26133,"(11965, -203)"
1759,42396,42404,6,104,944,63,80,28,3,20485,17313,25935,"(11988, -203)"
1760,42425,42434,5,109,937,143,82,28,1,20653,16995,26139,"(12053, -203)"
1761,42448,42456,6,111,941,-63,78,26,0,20450,17223,26181,"(12015, -203)"
1762,42470,42478,6,109,933,271,80,27,1,20653,17241,25971,"(12040, -203)"
1763,42492,42500,3,108,924,143,86,27,1,20725,17181,26067,"(12036, -203)"
