count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
72,2169,2177,10,108,922,-191,-175,-307,167,20234,16504,25947,"(11934, -235)"
73,2191,2199,7,101,919,0,-173,-300,160,20515,16714,26325,"(11927, -235)"
74,2212,2221,13,100,910,-31,-170,-303,165,20402,16714,26235,"(11934, -235)"
75,2234,2243,6,108,918,95,-167,-306,164,20635,16792,26259,"(11951, -235)"
76,2256,2265,10,104,921,47,-161,-308,163,20491,16672,26289,"(11942, -235)"
77,2300,2308,6,109,917,111,-171,-300,162,20593,16666,26139,"(11896, -235)"
78,2322,2330,6,104,932,0,-176,-298,163,20575,16816,26127,"(11917, -235)"
79,2348,2356,9,107,930,111,-175,-305,165,20539,16415,26013,"(11893, -235)"
80,2373,2382,8,100,925,159,-169,-299,164,20593,16522,26247,"(11934, -235)"
81,2435,2444,6,110,925,-15,-172,-304,167,20491,16720,26055,"(11931, -235)"
82,2457,2466,1,106,925,-63,-168,-304,169,20503,16732,26121,"(11935, -235)"
83,2479,2488,7,109,922,0,-169,-306,163,20641,16654,26486,"(11922, -235)"
84,2501,2510,8,102,918,0,-171,-305,168,20629,16768,26247,"(11961, -235)"
85,2523,2532,6,108,926,-159,-168,-304,163,20683,16786,26438,"(11902, -235)"
86,2545,2553,1,103,933,-143,-158,-424,157,20683,16870,26450,"(11894, -235)"
87,2567,2575,16,97,926,0,19,-34,70,20677,16774,26211,"(11915, -267)"
88,2589,2597,4,106,930,191,73,30,36,20827,16923,26247,"(11939, -267)"
89,2611,2619,11,104,930,-239,99,61,10,20791,16768,26001,"(11927, -235)"
90,2636,2644,6,104,932,-287,128,75,-8,21000,16816,26181,"(11932, -235)"
91,2658,2666,6,98,922,143,140,91,-21,20923,16846,26103,"(11945, -235)"
92,2684,2692,9,98,925,63,154,89,-26,20827,16774,25798,"(11928, -235)"
93,2706,2715,7,106,923,31,124,76,-13,20881,18330,25888,"(11909, -235)"
94,2728,2737,1,109,929,127,96,54,-13,20809,16941,25989,"(11935, -235)"
95,2750,2758,3,110,928,-47,86,40,-24,20857,16804,25762,"(11876, -235)"
96,2772,2780,10,104,931,0,104,52,-20,21042,16983,25786,"(11949, -235)"
97,2794,2802,4,102,930,-175,115,62,-37,21006,16720,26989,"(11925, -235)"
98,2816,2824,8,100,927,127,128,76,-57,20773,16732,26181,"(11954, -235)"
99,2837,2846,10,102,922,-31,125,70,-34,20857,16876,25977,"(11919, -235)"
100,2870,2878,6,108,930,255,129,76,-34,20761,16929,25738,"(11980, -235)"
101,2892,2900,7,106,927,0,126,75,-27,20719,16762,25858,"(11878, -235)"
102,2913,2922,2,104,938,0,129,72,-33,20875,16918,26025,"(11951, -235)"
103,2935,2944,9,106,930,63,131,73,-27,20863,16882,25756,"(11976, -235)"
104,2957,2966,8,106,924,255,126,66,-22,20677,16840,25995,"(11894, -235)"
105,2979,2988,3,108,926,79,126,66,-19,21048,16822,26109,"(11133, -235)"
106,3005,3014,13,102,933,-143,118,61,-10,20964,16822,26199,"(11991, -235)"
107,3028,3036,4,110,921,63,121,59,-19,20934,16923,26055,"(11899, -235)"
108,3050,3058,2,104,927,79,108,53,-19,20887,16720,26115,"(11954, -235)"
109,3071,3080,6,101,925,-15,113,58,-20,21036,16947,25977,"(11905, -235)"
110,3097,3105,6,113,922,0,102,42,-17,21306,17163,25373,"(11998, -235)"
111,3119,3127,18,104,929,191,100,48,-11,21126,17079,25474,"(12034, -235)"
112,3140,3149,5,115,919,111,99,42,-8,21126,17109,25612,"(11999, -235)"
113,3168,3177,7,109,915,111,96,43,-10,21288,17103,25510,"(11984, -235)"
114,3190,3199,22,100,926,127,89,30,-4,21144,17157,25774,"(11983, -235)"
115,3212,3221,20,89,939,0,86,32,-6,21198,16912,25618,"(11997, -235)"
116,3234,3242,13,96,965,191,81,28,-4,20833,17097,25498,"(11987, -235)"
117,3256,3264,15,90,966,-63,78,28,2,20821,16888,25888,"(12079, -235)"
118,3278,3286,14,97,962,335,81,26,0,21090,17031,25870,"(12031, -235)"
119,3304,3313,0,112,917,143,76,22,3,21228,17331,25510,"(12089, -235)"
120,3330,3338,17,115,930,159,84,29,3,21210,17043,25732,"(12052, -235)"
121,3352,3360,23,115,928,303,83,22,-1,21108,17157,25540,"(12035, -235)"
122,3373,3382,10,113,926,303,78,25,2,21228,16977,25421,"(12004, -235)"
123,3395,3404,15,104,939,255,83,26,0,21042,17163,25798,"(12058, -235)"
124,3417,3426,12,106,930,-95,83,25,4,20946,17103,25672,"(12066, -235)"
125,3439,3448,24,95,931,255,78,25,0,20976,16983,26001,"(12191, -235)"
126,3461,3470,19,89,960,-175,81,25,3,20905,16888,25804,"(12191, -235)"
127,3483,3492,28,90,969,-319,78,27,4,20491,16983,25971,"(12156, -235)"
128,3505,3513,19,99,972,0,85,26,-5,20946,17259,25696,"(12113, -235)"
129,3527,3535,19,95,951,0,80,26,1,20934,17169,25714,"(12079, -235)"
130,3552,3561,-17,106,915,95,85,26,-1,20695,16810,25672,"(12136, -235)"
131,3574,3583,-6,102,921,111,83,27,4,21006,16810,25750,"(12151, -235)"
132,3600,3609,-153,108,906,79,77,25,1,20940,17025,25762,"(12135, -235)"
133,3622,3631,3,108,897,-159,83,28,4,20749,16648,25971,"(12235, -235)"
134,3644,3653,18,120,897,207,83,24,2,21024,16726,25882,"(12162, -235)"
135,3666,3675,21,102,902,-255,80,24,8,20982,16780,26025,"(12221, -235)"
136,3688,3697,18,108,935,79,75,25,6,20845,16564,26049,"(12174, -235)"
137,3710,3719,8,106,924,287,83,24,3,20599,16720,25750,"(12164, -235)"
138,3732,3740,17,109,924,159,84,27,-2,20701,16810,25582,"(12211, -235)"
139,3794,3802,-4,113,893,0,78,29,0,20695,16870,25840,"(12184, -235)"
140,3819,3828,19,102,959,63,84,25,2,20767,16708,25834,"(12208, -235)"
141,3841,3850,19,99,954,-63,78,25,4,20761,16816,25648,"(12241, -235)"
142,3863,3872,13,101,961,383,85,24,3,20851,16947,25989,"(12191, -235)"
143,3885,3893,12,93,963,-47,85,27,0,20641,16690,25858,"(12193, -235)"
144,3907,3915,13,96,960,511,84,26,-5,20940,16888,26013,"(12235, -235)"
145,3933,3942,-2,111,909,-95,83,25,0,20833,16876,26025,"(12246, -235)"
146,3955,3964,0,106,915,63,85,24,-5,20647,16666,25977,"(12237, -235)"
147,3977,3986,0,114,910,-79,83,24,3,20713,16804,25941,"(12220, -235)"
148,3999,4007,3,109,910,335,76,27,5,20551,16696,25935,"(12245, -235)"
149,4021,4029,172,118,912,-111,83,25,2,20569,16606,25846,"(12208, -235)"
150,4046,4055,24,107,937,-15,83,22,0,20701,16876,26247,"(12171, -235)"
151,4068,4076,20,100,935,-175,82,26,4,20761,16882,25786,"(12177, -235)"
152,4090,4098,19,92,965,-47,77,20,-4,20827,16678,25768,"(12232, -235)"
153,4112,4120,21,94,960,127,84,28,-1,20803,16666,26025,"(12274, -235)"
154,4134,4142,25,94,963,31,83,25,-2,20887,16906,26061,"(12262, -235)"
155,4156,4164,21,88,969,-271,80,24,0,20671,16696,26043,"(12280, -235)"
156,4177,4186,16,98,966,335,84,25,-1,20647,16816,26127,"(12273, -235)"
157,4199,4208,24,102,946,-79,81,25,2,20839,18229,26019,"(12099, -235)"
158,4225,4234,-5,112,921,-351,84,27,-5,20677,16612,25852,"(12040, -235)"
159,4248,4256,1,110,947,47,84,27,8,20665,16708,26217,"(12082, -235)"
160,4273,4281,15,96,920,223,74,24,2,20743,16816,26169,"(12253, -235)"
161,4295,4303,7,93,952,-111,75,26,-1,20773,16786,25971,"(12212, -235)"
162,4317,4325,11,92,938,175,82,22,-3,20707,16798,26085,"(12212, -235)"
163,4360,4369,21,97,954,-207,77,24,4,20803,16630,25989,"(12170, -235)"
164,4382,4391,19,91,959,-159,76,25,-1,20707,16870,26025,"(12137, -235)"
165,4404,4412,18,99,957,255,88,25,3,20623,16756,25864,"(11940, -235)"
166,4426,4434,23,94,962,31,81,28,2,20533,16786,25828,"(11993, -235)"
167,4448,4456,2,93,957,255,80,25,1,20773,16750,26133,"(11993, -235)"
168,4470,4478,0,100,960,-15,74,24,0,20815,16858,26241,"(12149, -235)"
169,4491,4500,3,105,944,-335,86,17,-6,20737,16726,25917,"(12164, -235)"
170,4517,4525,-1,104,920,-95,75,24,-1,20827,16816,26253,"(12107, -235)"
171,4543,4551,17,98,948,-287,83,26,-1,21054,16762,26157,"(12068, -235)"
172,4565,4574,19,103,955,-47,82,26,-2,20934,16810,26013,"(12014, -235)"
173,4587,4596,25,97,961,-255,78,25,0,20833,16672,25840,"(11922, -235)"
174,4609,4617,32,93,961,31,80,26,4,20893,16828,26139,"(11967, -235)"
175,4631,4639,29,91,959,-47,78,24,1,20701,17079,25906,"(11936, -235)"
176,4653,4661,10,99,959,111,81,26,-3,20815,16912,26360,"(12020, -235)"
177,4675,4683,17,99,948,-111,76,22,1,20869,16858,25983,"(12074, -235)"
178,4697,4705,6,102,948,-239,78,25,3,20958,16810,25971,"(12044, -235)"
179,4718,4727,15,95,953,0,83,26,4,20749,16744,26151,"(12035, -235)"
180,4744,4752,-2,121,901,-111,86,27,4,20797,17007,25935,"(12051, -235)"
181,4765,4774,2,118,902,-255,82,27,1,20719,16953,25840,"(11937, -235)"
182,4787,4796,15,125,902,111,76,20,3,20785,16738,26229,"(11927, -235)"
183,4809,4818,23,108,892,-143,83,25,1,20917,16840,25935,"(11918, -235)"
184,4835,4844,21,97,969,303,86,28,-4,20851,16888,25977,"(11955, -235)"
185,4858,4866,29,98,936,0,78,26,-2,20731,16738,25870,"(11953, -235)"
186,4880,4888,22,99,959,207,81,24,5,20671,16738,25900,"(11997, -235)"
187,4901,4910,12,111,948,159,83,28,1,20677,16684,26121,"(11957, -235)"
188,4923,4932,21,103,937,-223,76,25,1,20515,16582,25947,"(11979, -235)"
189,4945,4954,6,98,922,191,76,25,2,20815,16834,26241,"(11934, -235)"
190,4970,4979,16,107,932,-79,74,26,2,20671,16876,26217,"(11934, -235)"
191,4992,5001,13,116,926,-95,75,26,2,20689,16738,26271,"(11911, -235)"
192,5014,5023,4,113,934,15,75,24,1,20743,16648,26019,"(11945, -235)"
193,5036,5044,12,113,933,63,80,24,1,20611,16947,25876,"(11990, -235)"
194,5058,5066,4,101,933,0,84,27,0,20521,16774,26163,"(11980, -235)"
195,5080,5088,5,112,928,-15,78,25,-291,20629,16684,26199,"(11989, -235)"
196,5102,5110,13,105,930,319,80,27,-3,20587,16768,25894,"(11965, -235)"
197,5173,5182,8,104,939,-191,78,21,1,20623,16792,26031,"(11918, -235)"
198,5195,5204,4,108,928,-367,84,26,1,20366,16576,26043,"(11939, -235)"
199,5217,5226,7,109,928,-271,83,26,2,20390,16744,26157,"(11905, -235)"
200,5242,5251,8,104,934,-63,84,27,0,20533,16756,26313,"(11937, -235)"
201,5264,5273,6,103,935,-223,82,25,-4,20551,16834,26043,"(11960, -235)"
202,5286,5295,5,110,930,191,77,27,1,20300,16894,26139,"(11952, -235)"
