count,tInitial,tFinal,v_A,v_B,i_A,i_B
9108,470636,470752,-6010,421,29440,32148
9110,471561,471677,-5984,446,26353,19425
9112,472494,472610,-6014,443,26329,-32704
9114,473418,473533,-5991,455,27865,22531
9116,474339,474454,-5990,399,29024,-22773
9118,475261,475377,-6027,446,27711,-22798
9120,476185,476300,-5990,407,29843,19932
9122,477106,477222,-6013,424,28650,-21647
9124,478046,478162,-5987,405,27943,23094
9126,478970,479085,-5989,441,29871,-23558
9128,479911,480027,-5982,443,27677,20643
9130,480875,480991,-6014,472,27783,24388
9132,481805,481921,-5990,433,28639,-23445
9134,482735,482850,-6004,433,25870,23677
9136,483690,483805,-5976,425,27357,21114
9138,484613,484729,-6004,387,29290,-22538
9140,485532,485648,-6001,423,29974,-32204
9142,486455,486571,-5977,454,25769,28649
9144,487379,487494,-5985,444,30052,22883
9146,488307,488423,-5997,442,26632,-25125
9148,489231,489346,-5979,429,29753,29448
9150,490154,490270,-6005,434,26174,16741
9152,491073,491189,-5999,432,29167,23519
9154,491997,492112,-6008,410,27089,18327
9156,492920,493036,-6008,462,30195,24746
9158,493857,493972,-6010,472,25991,21154
9160,494780,494896,-6009,420,26127,-24094
9162,495703,495819,-6009,421,30142,-21223
9164,496623,496738,-5999,413,25766,-21770
9166,497546,497662,-5981,414,27672,31725
9168,498479,498594,-6020,401,27657,31895
9170,499399,499515,-6004,421,27659,31412
9172,500324,500439,-5991,428,27733,28663
9174,501254,501370,-6010,440,28727,31254
9176,502176,502291,-6014,421,28900,21737
9178,503100,503216,-6000,436,26660,-27152
9180,504034,504149,-5996,430,30100,-20470
9182,504955,505070,-5989,415,29933,-27466
9184,505879,505995,-5997,387,30082,18517
9186,506802,506918,-6005,448,30231,-25786
9188,507726,507841,-6008,417,26558,24175
9190,508647,508762,-6002,418,30026,28027
9192,509587,509703,-5998,385,30289,-22194
9194,510511,510626,-5989,429,29351,-22178
9196,511431,511547,-6010,429,29223,30096
9198,512354,512470,-5995,381,30118,20514
9200,513278,513393,-6023,432,27196,-23863
